title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description;streaming;genre_parental_guidelines_and_description
That's Entertainment!;1974;Kids;132 min;'Documentaries', 'Music';September 1, 2021;7.9;An all-star cast, including Fred Astaire and Frank Sinatra, introduces clips from MGM's greatest musicals.;hbo max;'Documentaries', 'Music', Kids, An all-star cast, including Fred Astaire and Frank Sinatra, introduces clips from MGM's greatest musicals.
The Postman Always Rings Twice;1946;Older Kids;113 min;'Crime', 'Drama';September 1, 2021;7.5;A frustrated wife seduces a drifter into murdering her husband.;hbo max;'Crime', 'Drama', Older Kids, A frustrated wife seduces a drifter into murdering her husband.
To Have and Have Not;1944;Kids;100 min;'Drama', 'Romance', 'Suspense';September 1, 2021;7.7;A skipper-for-hire's romance with a beautiful drifter is complicated by his growing involvement with the French resistance.;hbo max;'Drama', 'Romance', 'Suspense', Kids, A skipper-for-hire's romance with a beautiful drifter is complicated by his growing involvement with the French resistance.
What's Up, Doc?;1972;Kids;94 min;'Comedy';September 1, 2021;7.7;When music researcher Howard Bannister travels with his fiancé to San Francisco to compete for a musicology grant, a luggage mix-up results in his involvement with a ditsy college drop-out, a jewel theft, and government spies.;hbo max;'Comedy', Kids, When music researcher Howard Bannister travels with his fiancé to San Francisco to compete for a musicology grant, a luggage mix-up results in his involvement with a ditsy college drop-out, a jewel theft, and government spies.
Where Eagles Dare;1968;Older Kids;155 min;'Action', 'Drama';September 1, 2021;7.5;A team of Allied Forces specialists is sent on a mission to Bavaria to rescue a kidnapped American General from the Germans during World War II.;hbo max;'Action', 'Drama', Older Kids, A team of Allied Forces specialists is sent on a mission to Bavaria to rescue a kidnapped American General from the Germans during World War II.
The Other Two;2019;Adults;"
                    New Season Added:";'Comedy';August 26, 2021;7.8;Aimless siblings Cary and Brooke Dubek's lives are thrown into even more chaos when their teenage brother becomes an overnight pop sensation.;hbo max;'Comedy', Adults, Aimless siblings Cary and Brooke Dubek's lives are thrown into even more chaos when their teenage brother becomes an overnight pop sensation.
Lincoln: Divided We Stand;2021;Older Kids;1 Season;'Documentaries', 'Kids & Family', 'News/Talk';August 25, 2021;7.6;Lincoln: Divided We Stand takes a comprehensive look at the remarkable and unexpected story of Abraham Lincoln by exploring his complicated inner world, seamlessly interweaving his tragic personal life with his history making political career. Narrated by Emmy-award winning actor Sterling K. Brown, the six-part docuseries uses a mix of expert interviews, cinematic recreations, rare artifacts, and never before broadcast photos and letters to take viewers on a transcendent journey into the life and times of this iconic U.S. president.;hbo max;'Documentaries', 'Kids & Family', 'News/Talk', Older Kids, Lincoln: Divided We Stand takes a comprehensive look at the remarkable and unexpected story of Abraham Lincoln by exploring his complicated inner world, seamlessly interweaving his tragic personal life with his history making political career. Narrated by Emmy-award winning actor Sterling K. Brown, the six-part docuseries uses a mix of expert interviews, cinematic recreations, rare artifacts, and never before broadcast photos and letters to take viewers on a transcendent journey into the life and times of this iconic U.S. president.
Stanley Tucci: Searching For Italy;2021;Teens;1 Season;'Documentaries', 'Kids & Family', 'News/Talk';August 24, 2021;8.7;Stanley Tucci travels across Italy to discover the secrets and delights of the country’s regional cuisines. Viewers will go along with him as he enjoys the luxurious creamy carbonara of Rome, the delicious simplicity of Sicily’s pasta alla Norma, the saffron-infused silkiness of risotto in Milan, the crispy tenderness of bistecca alla fiorentina, the perfect classic ragu alla bolognese and the world’s best pizza in Naples. Tucci comes prepared with a bottomless appetite for it all, showing us how the diversity of Italian cooking offers a gateway through which you can glimpse Italy’s history and culture.;hbo max;'Documentaries', 'Kids & Family', 'News/Talk', Teens, Stanley Tucci travels across Italy to discover the secrets and delights of the country’s regional cuisines. Viewers will go along with him as he enjoys the luxurious creamy carbonara of Rome, the delicious simplicity of Sicily’s pasta alla Norma, the saffron-infused silkiness of risotto in Milan, the crispy tenderness of bistecca alla fiorentina, the perfect classic ragu alla bolognese and the world’s best pizza in Naples. Tucci comes prepared with a bottomless appetite for it all, showing us how the diversity of Italian cooking offers a gateway through which you can glimpse Italy’s history and culture.
Prodigal Son;2019;Teens;"
                    New Season Added:";'Crime', 'Drama', 'Kids & Family';August 23, 2021;7.6;Prodigal Son follows criminal psychologist Malcolm Bright as he uses his twisted genius to get inside the minds of murderers to help the NYPD solve cases. As Bright helps track down the city's most dangerous criminals, he also battles his own demons.;hbo max;'Crime', 'Drama', 'Kids & Family', Teens, Prodigal Son follows criminal psychologist Malcolm Bright as he uses his twisted genius to get inside the minds of murderers to help the NYPD solve cases. As Bright helps track down the city's most dangerous criminals, he also battles his own demons.
In the Same Breath;2021;Teens;98 min;'Documentaries';August 19, 2021;7.7;The origin and spread of the novel coronavirus – from the earliest days of the outbreak in Wuhan, China to its rampage across the United States – is recounted in this documentary. With emotional accounts and startling footage, the film traces a map of cover-ups and misinformation while also highlighting the strength and resilience of those who tried to communicate the truth.;hbo max;'Documentaries', Teens, The origin and spread of the novel coronavirus – from the earliest days of the outbreak in Wuhan, China to its rampage across the United States – is recounted in this documentary. With emotional accounts and startling footage, the film traces a map of cover-ups and misinformation while also highlighting the strength and resilience of those who tried to communicate the truth.
Jurassic Park;1993;Teens;126 min;'Action', 'Fantasy & Sci-Fi', 'Kids & Family';August 15, 2021;8.2;Steven Spielberg brings dinosaurs to stunning life in this epic thriller about an island theme park where the star attractions go on a wild rampage. Sent to an island park where prehistoric creatures have been reborn thanks to genetic engineering, a group of scientists find themselves running for their lives from a multitude of voracious creatures.;hbo max;'Action', 'Fantasy & Sci-Fi', 'Kids & Family', Teens, Steven Spielberg brings dinosaurs to stunning life in this epic thriller about an island theme park where the star attractions go on a wild rampage. Sent to an island park where prehistoric creatures have been reborn thanks to genetic engineering, a group of scientists find themselves running for their lives from a multitude of voracious creatures.
The Venture Bros.;2002;Teens;7 Seasons;'Action', 'Comedy';August 13, 2021;8.6;Two all-American teens spend most of their time hopping from one adventure to the next. Along with their caustic and self-centered father, Dr. Venture, the brothers have the uber-spy Brock Samson to protect them. Beset on all sides, the Venture Brothers do all they can just to make it out alive.;hbo max;'Action', 'Comedy', Teens, Two all-American teens spend most of their time hopping from one adventure to the next. Along with their caustic and self-centered father, Dr. Venture, the brothers have the uber-spy Brock Samson to protect them. Beset on all sides, the Venture Brothers do all they can just to make it out alive.
Titans;2018;Adults;"
                    New Season Added:";'Action', 'Drama';August 12, 2021;7.7;"This gritty take on the ""Teen Titans"" franchise follows young heroes from across the DC Universe as they come of age and find where they belong. Dick Grayson and Rachel Roth, a special girl possessed by a strange darkness, get involved in a conspiracy that could bring Hell on Earth. Hot-headed Starfire and lovable Beast Boy join them along the way as together they become a surrogate family and team of heroes fighting evil.";hbo max;"'Action', 'Drama', Adults, This gritty take on the ""Teen Titans"" franchise follows young heroes from across the DC Universe as they come of age and find where they belong. Dick Grayson and Rachel Roth, a special girl possessed by a strange darkness, get involved in a conspiracy that could bring Hell on Earth. Hot-headed Starfire and lovable Beast Boy join them along the way as together they become a surrogate family and team of heroes fighting evil."
The Suicide Squad;2021;Adults;132 min;'Action', 'Comedy', 'Crime';August 5, 2021;7.1;Super-Villains will do anything to get out of Belle Reve prison – even join the super-secret, super-shady Task Force X. Today’s do-or-die assignment? Gather a collection of cons, arm them heavily and drop them (literally) on the enemy-infused island of Corto Maltese. Trekking through a jungle teeming with militant adversaries and guerrilla forces at every turn, the Squad is on a search-and-destroy mission with only Colonel Rick Flag on the ground to make them behave…and Amanda Waller’s government techies in their ears, tracking their every movement. And as always, one wrong move and they’re dead (whether at the hands of their opponents, a teammate, or Waller herself). If anyone’s laying down bets, the smart money is against them – all of them. Streaming through Sep. 5.;hbo max;'Action', 'Comedy', 'Crime', Adults, Super-Villains will do anything to get out of Belle Reve prison – even join the super-secret, super-shady Task Force X. Today’s do-or-die assignment? Gather a collection of cons, arm them heavily and drop them (literally) on the enemy-infused island of Corto Maltese. Trekking through a jungle teeming with militant adversaries and guerrilla forces at every turn, the Squad is on a search-and-destroy mission with only Colonel Rick Flag on the ground to make them behave…and Amanda Waller’s government techies in their ears, tracking their every movement. And as always, one wrong move and they’re dead (whether at the hands of their opponents, a teammate, or Waller herself). If anyone’s laying down bets, the smart money is against them – all of them. Streaming through Sep. 5.
A Mighty Wind;2003;Teens;92 min;'Comedy', 'Kids & Family', 'Music';August 1, 2021;7.3;Christopher Guest reunites with his 'This Is Spinal Tap' cohorts Harry Shearer and Michael McKean to portray one of three folk groups reuniting for a public television reunion concert. Joining them are the New Main Street Singers (who follow a religion that worships colors), and Mitch & Mickey, a duet whose romance ended in a public breakup that left Mitch institutionalized.;hbo max;'Comedy', 'Kids & Family', 'Music', Teens, Christopher Guest reunites with his 'This Is Spinal Tap' cohorts Harry Shearer and Michael McKean to portray one of three folk groups reuniting for a public television reunion concert. Joining them are the New Main Street Singers (who follow a religion that worships colors), and Mitch & Mickey, a duet whose romance ended in a public breakup that left Mitch institutionalized.
Best in Show;2000;Teens;90 min;'Comedy';August 1, 2021;7.5;Chase after this 'barkingly funny' ('Variety') sendup of the dog-owner-eat-dog-owner world of canine pageants. There, obsessive owners of all stripes – from a pair of neurotic yuppies to a down-home fly-fisherman – put their reputations on the line...and reveal their quirks in mockumentary-style interviews.;hbo max;'Comedy', Teens, Chase after this 'barkingly funny' ('Variety') sendup of the dog-owner-eat-dog-owner world of canine pageants. There, obsessive owners of all stripes – from a pair of neurotic yuppies to a down-home fly-fisherman – put their reputations on the line...and reveal their quirks in mockumentary-style interviews.
Blood Ties;2014;Adults;129 min;'Action', 'Crime', 'Drama';August 1, 2021;7.6;"In 1970s Brooklyn, an ex-con trying to go straight is pulled back into a life of crime, triggering a bloody showdown with his cop brother. Starring Clive Owen, Billy Crudup, Marion Cotillard, Mila Kunis, Zoe Saldana, Matthias Schoenaerts, and James Caan. Directed by Guillaume Canet; screenplay by Guillaume Canet & James Gray.";hbo max;"'Action', 'Crime', 'Drama', Adults, In 1970s Brooklyn, an ex-con trying to go straight is pulled back into a life of crime, triggering a bloody showdown with his cop brother. Starring Clive Owen, Billy Crudup, Marion Cotillard, Mila Kunis, Zoe Saldana, Matthias Schoenaerts, and James Caan. Directed by Guillaume Canet; screenplay by Guillaume Canet & James Gray."
Changeling;2008;Adults;142 min;'Action', 'Crime', 'Drama';August 1, 2021;7.7;Angelina Jolie delivers a riveting, Oscar(R)-nominated performance in this gut-wrenching drama about a mother's search for her missing son. Clint Eastwood directed this intimate film that chronicles the notorious 1928 'Wineville Chicken Coop Murders' and the story of one woman's dogged determination to find her son – and expose a corrupt police force at any cost.;hbo max;'Action', 'Crime', 'Drama', Adults, Angelina Jolie delivers a riveting, Oscar(R)-nominated performance in this gut-wrenching drama about a mother's search for her missing son. Clint Eastwood directed this intimate film that chronicles the notorious 1928 'Wineville Chicken Coop Murders' and the story of one woman's dogged determination to find her son – and expose a corrupt police force at any cost.
Dirty Rotten Scoundrels;1988;Older Kids;110 min;'Comedy', 'Crime', 'Kids & Family';August 1, 2021;7.3;Beaumont-sur-Mer is a seaside resort filled with ladies willing to empty their pocketbooks for con man Freddy Benson (Steve Martin) and his tales of woe. But the beach locale belongs to Lawrence Jamieson (Michael Caine), a fellow con who has made his wealth duping the rich of the Riviera. Soon the pair are waging $50,000 – to determine which con will be packing his bags.;hbo max;'Comedy', 'Crime', 'Kids & Family', Older Kids, Beaumont-sur-Mer is a seaside resort filled with ladies willing to empty their pocketbooks for con man Freddy Benson (Steve Martin) and his tales of woe. But the beach locale belongs to Lawrence Jamieson (Michael Caine), a fellow con who has made his wealth duping the rich of the Riviera. Soon the pair are waging $50,000 – to determine which con will be packing his bags.
Gang Related;1997;Adults;111 min;'Action', 'Crime', 'Drama';August 1, 2021;7.5;Scrambling for big bucks, crooked detectives James Belushi and Tupac Shakur hatch an unscrupulous scheme that's surefire...or so they think. The scam: pose as drug peddlers, strike a deal, rub out the real pushers and make it look like a drive-by. These guys think they can get away with murder – until fate turns the tables with a vengeance.;hbo max;'Action', 'Crime', 'Drama', Adults, Scrambling for big bucks, crooked detectives James Belushi and Tupac Shakur hatch an unscrupulous scheme that's surefire...or so they think. The scam: pose as drug peddlers, strike a deal, rub out the real pushers and make it look like a drive-by. These guys think they can get away with murder – until fate turns the tables with a vengeance.
Hachi: A Dog's Tale;2009;Kids;93 min;'Movies';August 1, 2021;8.1;A college professor takes in a dog he finds abandoned, and both find their lives changed forever as they form an unbreakable bond. Based on the true story of Hachiko, an Akita dog in 1920s Japan remembered for his loyalty to his master.;hbo max;'Movies', Kids, A college professor takes in a dog he finds abandoned, and both find their lives changed forever as they form an unbreakable bond. Based on the true story of Hachiko, an Akita dog in 1920s Japan remembered for his loyalty to his master.
In the Heat of the Night;1967;Older Kids;110 min;'Crime', 'Drama', 'Suspense';August 1, 2021;7.5;A murder in Dixie makes unlikely partners of urban black detective Sidney Poitier and redneck sheriff Rod Steiger (1967 Best Actor Oscar(R) winner). This socially significant thriller also won the award for Best Picture.;hbo max;'Crime', 'Drama', 'Suspense', Older Kids, A murder in Dixie makes unlikely partners of urban black detective Sidney Poitier and redneck sheriff Rod Steiger (1967 Best Actor Oscar(R) winner). This socially significant thriller also won the award for Best Picture.
Into the Arms of Strangers: Stories of the Kindertransport;2000;Older Kids;117 min;'Documentaries', 'Kids & Family';August 1, 2021;7.9;Academy Award winner Judi Dench narrates this extraordinary chronicle of an unparalleled British mission to rescue more than 10,000 children - most of them Jewish - from Germany, Austria and Czechoslovakia prior to World War II.;hbo max;'Documentaries', 'Kids & Family', Older Kids, Academy Award winner Judi Dench narrates this extraordinary chronicle of an unparalleled British mission to rescue more than 10,000 children - most of them Jewish - from Germany, Austria and Czechoslovakia prior to World War II.
Julia;2009;Adults;144 min;'Crime', 'Drama', 'International';August 1, 2021;8.4;"An alcoholic woman becomes involved in a nefarious ransom kidnapping scheme with a stranger from an AA meeting. Tilda Swinton stars; also with Saul Rubinek, Kate del Castillo, Aidan Gould, Jude Ciccolella, Bruno Bichir, and Horacio Garcia Rojas. Directed by Erick Zonca; written by Aude Py & Erick Zonca, adapted by Roger Bohbot & Michael Collins.";hbo max;"'Crime', 'Drama', 'International', Adults, An alcoholic woman becomes involved in a nefarious ransom kidnapping scheme with a stranger from an AA meeting. Tilda Swinton stars; also with Saul Rubinek, Kate del Castillo, Aidan Gould, Jude Ciccolella, Bruno Bichir, and Horacio Garcia Rojas. Directed by Erick Zonca; written by Aude Py & Erick Zonca, adapted by Roger Bohbot & Michael Collins."
Mean Streets;1973;Adults;112 min;'Action', 'Crime', 'Drama';August 1, 2021;7.3;A young hood in New York's Little Italy contends with saving the neck of his hotheaded best friend from the local loan shark and struggles with the religious guilt prompted by his lifestyle.;hbo max;'Action', 'Crime', 'Drama', Adults, A young hood in New York's Little Italy contends with saving the neck of his hotheaded best friend from the local loan shark and struggles with the religious guilt prompted by his lifestyle.
Requiem for a Dream;2000;Adults;101 min;'Drama';August 1, 2021;8.2;Four people pursuing visions of happiness while descending into addiction.;hbo max;'Drama', Adults, Four people pursuing visions of happiness while descending into addiction.
The Birdcage;1996;Adults;119 min;'Comedy';August 1, 2021;7.2;Robin Williams and Nathan Lane play an openly gay couple who have to play it straight when their son announces that he's going to marry the daughter of an ultra-conservative U.S. senator.;hbo max;'Comedy', Adults, Robin Williams and Nathan Lane play an openly gay couple who have to play it straight when their son announces that he's going to marry the daughter of an ultra-conservative U.S. senator.
The Great Gatsby;2013;Teens;142 min;'Drama', 'Kids & Family', 'Romance';August 1, 2021;7.1;Leonardo DiCaprio brings 'Gatsby' to new life in this stylish, colorful adaptation of F. Scott Fitzgerald's literary classic. Set in a decadent Long Island of the Roaring '20s, the film injects a stunning visual electricity to Fitzgerald's tale that follows various residents of a small town as seen by a bond salesman who rents a house next door to mysterious tycoon Jay Gatsby.;hbo max;'Drama', 'Kids & Family', 'Romance', Teens, Leonardo DiCaprio brings 'Gatsby' to new life in this stylish, colorful adaptation of F. Scott Fitzgerald's literary classic. Set in a decadent Long Island of the Roaring '20s, the film injects a stunning visual electricity to Fitzgerald's tale that follows various residents of a small town as seen by a bond salesman who rents a house next door to mysterious tycoon Jay Gatsby.
The Hangover;2009;Adults;100 min;'Comedy';August 1, 2021;7.8;Two days before his wedding, Doug and his three buddies drive to Vegas for a blow-out night they'll never forget. But when the three groomsmen wake up the next morning with pounding headaches, they can't remember a thing. Their posh hotel suite is beyond trashed and the groom is nowhere to be found. With no clue of what happened and little time to spare, the trio must attempt to retrace their bad decisions from the night before in order to figure out where things went wrong and hopefully get Doug back to L.A. in time for his wedding. However, the more they begin to uncover, the more they realize just how much trouble they're really in.;hbo max;'Comedy', Adults, Two days before his wedding, Doug and his three buddies drive to Vegas for a blow-out night they'll never forget. But when the three groomsmen wake up the next morning with pounding headaches, they can't remember a thing. Their posh hotel suite is beyond trashed and the groom is nowhere to be found. With no clue of what happened and little time to spare, the trio must attempt to retrace their bad decisions from the night before in order to figure out where things went wrong and hopefully get Doug back to L.A. in time for his wedding. However, the more they begin to uncover, the more they realize just how much trouble they're really in.
The Reader;2008;Adults;124 min;'Drama', 'Romance';August 1, 2021;7.7;"Kate Winslet won an Oscar(R) for her performance in this powerful tale of a law student who encounters his former lover as she defends herself in a Nazi war crimes trial. Co-starring Ralph Fiennes, David Kross, Lena Olin, Bruno Ganz. Directed by Stephen Daldry; screenplay by David Hare, based on the book by Bernhard Schlink.";hbo max;"'Drama', 'Romance', Adults, Kate Winslet won an Oscar(R) for her performance in this powerful tale of a law student who encounters his former lover as she defends herself in a Nazi war crimes trial. Co-starring Ralph Fiennes, David Kross, Lena Olin, Bruno Ganz. Directed by Stephen Daldry; screenplay by David Hare, based on the book by Bernhard Schlink."
My Left Foot;1989;Adults;103 min;'Drama', 'International';July 31, 2021;7.8;This emotionally jarring story is a captivating character study. Based on a true story, Daniel Day Lewis won an Oscar for his portrayal of Christy Brown, crippled by cerebral palsy since birth. Brown uses his left foot, the only part of his body that can move, to communicate, eventually learning to write. Through perseverance and sheer force of will he becomes a renowned painter and writer. Brenda Fricker won a Best Supporting Actress Oscar for her role as Brown's resolute mother in this astonishing film by Jim Sheridan.;hbo max;'Drama', 'International', Adults, This emotionally jarring story is a captivating character study. Based on a true story, Daniel Day Lewis won an Oscar for his portrayal of Christy Brown, crippled by cerebral palsy since birth. Brown uses his left foot, the only part of his body that can move, to communicate, eventually learning to write. Through perseverance and sheer force of will he becomes a renowned painter and writer. Brenda Fricker won a Best Supporting Actress Oscar for her role as Brown's resolute mother in this astonishing film by Jim Sheridan.
Music Box;2021;Adults;1 Season;'Series';July 24, 2021;7.3;Woodstock 99, a three-day music festival promoted to echo unity and counterculture idealism of the original 1969 concert but instead devolved into riots, looting and sexual assaults.;hbo max;'Series', Adults, Docuseries.
Eyes on the Prize;1987;Adults;1 Season;'Documentaries';July 19, 2021;9.2;Eyes on the Prize tells the definitive story of the civil rights era from the point of view of the ordinary men and women whose extraordinary actions launched a movement that changed the fabric of American life and embodied a struggle whose reverberations continue to be felt today. Winner of numerous awards, Eyes on the Prize is the most critically acclaimed documentary on civil rights in America.;hbo max;'Documentaries', Adults, Eyes on the Prize tells the definitive story of the civil rights era from the point of view of the ordinary men and women whose extraordinary actions launched a movement that changed the fabric of American life and embodied a struggle whose reverberations continue to be felt today. Winner of numerous awards, Eyes on the Prize is the most critically acclaimed documentary on civil rights in America.
The White Lotus;2021;Adults;"
                    New Season Added:";'Comedy', 'Drama';July 12, 2021;7.5;A social satire set at a tropical resort, this limited series follows various guests and employees over one highly transformative week. Checking into the luxurious White Lotus are a group of vacationers who run roughshod over the manager and head of spa services. As darker dynamics emerge, the truths of the travelers, employees, and even the idyllic locale itself are revealed.;hbo max;'Comedy', 'Drama', Adults, A social satire set at a tropical resort, this limited series follows various guests and employees over one highly transformative week. Checking into the luxurious White Lotus are a group of vacationers who run roughshod over the manager and head of spa services. As darker dynamics emerge, the truths of the travelers, employees, and even the idyllic locale itself are revealed.
Jett;2019;Adults;1 Season;'Crime', 'Drama', 'Suspense';July 9, 2021;7.2;"Daisy ""Jett"" Kowalski is a world-class thief just out of prison and trying to stay on the straight and narrow. But when crime lord Charlie Baudelaire offers her the proverbial ""last job"" – a jewel heist in Cuba that will see her reunited with former flame and safecracker extraordinaire Quinn – Jett goes back to doing what she does best. Carla Gugino stars.";hbo max;"'Crime', 'Drama', 'Suspense', Adults, Daisy ""Jett"" Kowalski is a world-class thief just out of prison and trying to stay on the straight and narrow. But when crime lord Charlie Baudelaire offers her the proverbial ""last job"" – a jewel heist in Cuba that will see her reunited with former flame and safecracker extraordinaire Quinn – Jett goes back to doing what she does best. Carla Gugino stars."
Shiva Baby;2021;Adults;77 min;'Comedy';July 8, 2021;7.2;In this sharply observed comedy, a college student has an awkward encounter with her sugar daddy and her ex-girlfriend while attending a Jewish funeral service with her parents. Rachel Sennott, Molly Gordon, Polly Draper, Danny Deferrari, Fred Melamed, and Dianna Agron star. Written and directed by Emma Seligman.;hbo max;'Comedy', Adults, In this sharply observed comedy, a college student has an awkward encounter with her sugar daddy and her ex-girlfriend while attending a Jewish funeral service with her parents. Rachel Sennott, Molly Gordon, Polly Draper, Danny Deferrari, Fred Melamed, and Dianna Agron star. Written and directed by Emma Seligman.
Black Panthers;1968;Older Kids;29 min;'Documentaries', 'Shorts';July 1, 2021;7.3;Interviews and protests at a rally to free Huey P. Newton.;hbo max;'Documentaries', 'Shorts', Older Kids, Interviews and protests at a rally to free Huey P. Newton.
Endless Love;2014;Teens;105 min;'Drama', 'Kids & Family', 'Romance';July 1, 2021;7.3;The privileged, beautiful daughter of a wealthy doctor falls madly in love with the hunky, hot-headed son of a mechanic from the wrong side of the tracks, much to the chagrin of her snobby father.;hbo max;'Drama', 'Kids & Family', 'Romance', Teens, The privileged, beautiful daughter of a wealthy doctor falls madly in love with the hunky, hot-headed son of a mechanic from the wrong side of the tracks, much to the chagrin of her snobby father.
Eve's Bayou;1997;Adults;108 min;'Crime', 'Drama';July 1, 2021;7.1;Louis Batiste is a popular physician in 1960s Louisiana who has a beautiful wife, a loving family and a weakness for women. While his wife ignores his infidelities, his youngest daughter Eve is crushed when she catches her dad in a compromising situation.;hbo max;'Crime', 'Drama', Adults, Louis Batiste is a popular physician in 1960s Louisiana who has a beautiful wife, a loving family and a weakness for women. While his wife ignores his infidelities, his youngest daughter Eve is crushed when she catches her dad in a compromising situation.
Gandhi;1982;Older Kids;191 min;'Drama';July 1, 2021;8.1;Biographical epic on the life of Mohandas K Gandhi, a proponent of peaceful revolution who led his country's fight for independence and was subsequently assassinated.;hbo max;'Drama', Older Kids, Biographical epic on the life of Mohandas K Gandhi, a proponent of peaceful revolution who led his country's fight for independence and was subsequently assassinated.
Lucky;2017;Adults;88 min;'Comedy', 'Drama';July 1, 2021;7.4;"In one of his final roles, renowned character actor Harry Dean Stanton gives a career-best performance as a 90-year-old atheist thrust into a journey of self-exploration as he comes to terms with his own mortality. Co-starring David Lynch, Ron Livingston, Ed Begley Jr.,Tom Skerritt. Directed by John Carroll Lynch; written by Logan Sparks & Drago Sumonja.";hbo max;"'Comedy', 'Drama', Adults, In one of his final roles, renowned character actor Harry Dean Stanton gives a career-best performance as a 90-year-old atheist thrust into a journey of self-exploration as he comes to terms with his own mortality. Co-starring David Lynch, Ron Livingston, Ed Begley Jr.,Tom Skerritt. Directed by John Carroll Lynch; written by Logan Sparks & Drago Sumonja."
Reservoir Dogs;1992;Adults;99 min;'Crime', 'Drama', 'Suspense';July 1, 2021;8.3;"Described by Empire as ""the greatest independent film of all time,"" this classic feature film debut of Quentin Tarantino follows six participants of an ill-fated jewel heist as they try to figure out which of them is a traitor. Starring Harvey Keitel, Tim Roth, Chris Penn, Steve Buscemi, Lawrence Tierney, and Michael Madsen. Written and directed by Quentin Tarantino.";hbo max;"'Crime', 'Drama', 'Suspense', Adults, Described by Empire as ""the greatest independent film of all time,"" this classic feature film debut of Quentin Tarantino follows six participants of an ill-fated jewel heist as they try to figure out which of them is a traitor. Starring Harvey Keitel, Tim Roth, Chris Penn, Steve Buscemi, Lawrence Tierney, and Michael Madsen. Written and directed by Quentin Tarantino."
The Chosen;1982;Older Kids;107 min;'Drama';July 1, 2021;9.4;"Two young men come of age in this story of faith and friendship in 1940s Brooklyn. Robby Benson plays a deeply religious Jewish youth embroiled in a conflict between old ways and new. Rod Steiger plays his rabbi father. Maximilian Schell is a college professor questioning the past. Directed by Jeremy Paul Kagan; screenplay by Edwin Gordon, based on the novel by Chaim Potok.";hbo max;"'Drama', Older Kids, Two young men come of age in this story of faith and friendship in 1940s Brooklyn. Robby Benson plays a deeply religious Jewish youth embroiled in a conflict between old ways and new. Rod Steiger plays his rabbi father. Maximilian Schell is a college professor questioning the past. Directed by Jeremy Paul Kagan; screenplay by Edwin Gordon, based on the novel by Chaim Potok."
The White Stadium;1928;Kids;124 min;'Documentaries', 'International', 'Sports';July 1, 2021;7.4;A profile of the 1928 Olympic Games in St. Moritz, Switzerland.;hbo max;'Documentaries', 'International', 'Sports', Kids, A profile of the 1928 Olympic Games in St. Moritz, Switzerland.
Trance;2013;Adults;101 min;'Crime', 'Drama', 'Suspense';July 1, 2021;7.3;From Oscar(R)-winning director Danny Boyle ('Slumdog Millionaire') comes this twist-filled tale of thievery and deception. James McAvoy is an art auctioneer who plays a key role in the theft of a priceless painting. The only trouble is amnesia is preventing him from telling his partner (Vincent Cassel) where it is. Can sexy hypnotherapist Rosario Dawson get him to remember?;hbo max;'Crime', 'Drama', 'Suspense', Adults, From Oscar(R)-winning director Danny Boyle ('Slumdog Millionaire') comes this twist-filled tale of thievery and deception. James McAvoy is an art auctioneer who plays a key role in the theft of a priceless painting. The only trouble is amnesia is preventing him from telling his partner (Vincent Cassel) where it is. Can sexy hypnotherapist Rosario Dawson get him to remember?
Wait Until Dark;1967;Older Kids;108 min;'Suspense';July 1, 2021;7.8;A blind woman fights against drug smugglers who've invaded her home.;hbo max;'Suspense', Older Kids, A blind woman fights against drug smugglers who've invaded her home.
Wonder Boys;2000;Adults;111 min;'Comedy', 'Drama';July 1, 2021;7.2;Michael Douglas delivers one of his finest performances in this 'superbly mounted screwball comedy' (Variety) about a college professor and struggling author whose life goes into a tailspin over the course of one disastrous weekend. Tobey Maguire, Frances McDormand, Katie Holmes, Rip Torn and Robert Downey Jr. co-star. Oscar(R) winner for Best Original Song.;hbo max;'Comedy', 'Drama', Adults, Michael Douglas delivers one of his finest performances in this 'superbly mounted screwball comedy' (Variety) about a college professor and struggling author whose life goes into a tailspin over the course of one disastrous weekend. Tobey Maguire, Frances McDormand, Katie Holmes, Rip Torn and Robert Downey Jr. co-star. Oscar(R) winner for Best Original Song.
Zero Days;2016;Teens;114 min;'Documentaries', 'Kids & Family';July 1, 2021;7.8;Alex Gibney directed this documentary about Stuxnet – a self-replicating computer malware that has opened a Pandora's box of cyber-warfare.;hbo max;'Documentaries', 'Kids & Family', Teens, Alex Gibney directed this documentary about Stuxnet – a self-replicating computer malware that has opened a Pandora's box of cyber-warfare.
Super Friends;1973;Kids;10 Seasons;'Action', 'Kids & Family';June 18, 2021;7.1;The most powerful heroes ever – Superman, Wonder Woman, Aquaman, Batman and Robin – join forces with teenagers Wendy and Marvin and their dog, Marvel the Wonderdog, to defend justice and guard the innocent. Two teenagers, one wonderdog and five superheroes – they're Superfriends to the rescue.;hbo max;'Action', 'Kids & Family', Kids, The most powerful heroes ever – Superman, Wonder Woman, Aquaman, Batman and Robin – join forces with teenagers Wendy and Marvin and their dog, Marvel the Wonderdog, to defend justice and guard the innocent. Two teenagers, one wonderdog and five superheroes – they're Superfriends to the rescue.
